Part No.,Footprint
M253ZE3AE,MCU_QFN33_5X5mm
M253LD3AE,MCU_LQFP48_7X7mm
M253LE3AE,MCU_LQFP48_7X7mm
M254ME3AE,MCU_LQFP44_10X10mm
M254SD3AE,MCU_LQFP64_7X7mm 
M254SE3AE,MCU_LQFP64_7X7mm 
M254SD2AE,MCU_LQFP64_7X7mm 
M254QD3AE,MCU_LQFP80_14X14mm
M254QE3AE,MCU_LQFP80_14X14mm
M254KD3AE,MCU_LQFP128_14X14mm
M254KE3AE,MCU_LQFP128_14X14mm
M254KG6AE,MCU_LQFP128_14X14mm
M254MD2AE,MCU_LQFP44_10X10mm
M254SG6AE,MCU_LQFP64_7X7mm 
M256MD2AE,MCU_LQFP44_10X10mm
M256SD2AE,MCU_LQFP64_7X7mm 
M256SD3AE,MCU_LQFP64_7X7mm 
M256SE3AE,MCU_LQFP64_7X7mm 
M256QD3AE,MCU_LQFP80_14X14mm
M256QE3AE,MCU_LQFP80_14X14mm
M256KD3AE,MCU_LQFP128_14X14mm
M256KE3AE,MCU_LQFP128_14X14mm
M256QG6AE,MCU_LQFP80_14X14mm
M258SD3AE,MCU_LQFP64_7X7mm 
M258SE3AE,MCU_LQFP64_7X7mm 
M258QD3AE,MCU_LQFP80_14X14mm
M258QE3AE,MCU_LQFP80_14X14mm
M258KD3AE,MCU_LQFP128_14X14mm
M258KE3AE,MCU_LQFP128_14X14mm
